A1_Pseudonym_Display Name,A2_First Name,A3_Family Name,A7_School,B1_Title_Display,B2_Full Title,B3_Genre,C1_Circa,C2_Start Date,C4_End Date,D1_Object Type,D2_Technique 1,D3_Technique 2,D4_Material,E1_Metric Unit,E2_Height,E3_Metric Unit,E4_Width,E7_Metric Unit,E8_Diameter,F5_Place,F6_Current Location,F7_Latitude,F8_Longitude,G1_Sources,G2_Source Url,G3_Source Url 2,H1_Credit,I1_Filter View
Leonardo da Vinci,,,Florentine,Virgin of the Rocks,The Virgin with the Infant St John the Baptist adoring the Christ Child accompanied by an Angel,Religious,,1495,1508,Painting,Oil,,Wood,cm,189.5,cm,120,,,London,The National Gallery,51.508976,-0.12802,The National Gallery,https://www.nationalgallery.org.uk/paintings/leonardo-da-vinci-the-virgin-of-the-rocks,,Mathilda Lindborg,Filter
Michelangelo Buonarroti,Michelangelo,,Florentine,The Fall and Expulsion from the Garden of Eden,,Religious,,1509,1510,Painting,Fresco,,Intonaco,cm,280,cm,570,,,Vatican City,Capella Sistina ,41.9029,12.4545,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/m/michelan/3sistina/1genesis/4sin/04_3ce4.html,,Mathilda Lindborg,Filter
Raphael ,Raffaello,Sanzio,Florentine,Portrait of Pope Julius II,,Portrait ,,1511,1512,Painting ,Oil,,Wood,cm,108.7,cm,81,,,London,The National Gallery,51.508976,-0.12802,The National Gallery,https://www.nationalgallery.org.uk/artists/raphael,https://en.wikipedia.org/wiki/Portrait_of_Pope_Julius_II,Priyanjali Ratwatte,Filter
Enguerrand Quarton,,,French ,Piet_ of Villeneuve-lﾏs-Avignon,,Religious ,c.,1440,1460,Painting ,Oil,,Wood,cm,163,cm,219,,,Paris,Mus_e du Louvre,48.862926,2.33603,Mus_e du Louvre,https://en.wikipedia.org/wiki/Enguerrand_Quarton,http://www.louvre.fr/oeuvre-notices/la-pieta-de-villeneuve-les-avignon,Priyanjali Ratwatte ,Filter
Leonardo da Vinci,,,Florentine,Virgin of the Rocks,The Virgin with the Infant Saint John the Baptist adoring the Christ Child accompanied by an Angel,Religious,,1483,1486,Painting,Oil,,Wood,cm,199,cm,122,,,Paris,Mus_e du Louvre,48.862926,2.33603,Wikipedia,https://en.wikipedia.org/wiki/Virgin_of_the_Rocks,,Lily Lacey-Hastings,Filter
Michelangelo Buonarroti,,,Florentine,The Creation of Adam,,Religious,,1510,1510,Painting,Fresco,,Intonaco,cm,280,cm,570,,,Vatican City,Capella Sistina ,41.902923,12.454891,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/m/michelan/3sistina/1genesis/6adam/06_3ce6.html,,Ella Ridley - Jones,Filter
Pietro Perugino,Pietro,di Cristoforo Vannucci,Central-Italian,Gonfalone con la Piet__,Piet__ with the saints Jerome and Mary Magdalene,Religious,c.,1472,1472,Painting,Tempera,,Canvas,cm,128,cm,165,,,Perugia,Galleria Nazionale dell'Umbria,43.11155,12.388791,Wikipedia,https://it.wikipedia.org/wiki/Gonfalone_con_la_Piet%C3%A0,,Ella Ridley - Jones,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,Adoration of the Magi,,Religious,c.,1475,1475,Painting,Tempera,,Wood,cm,111,cm,134,,,Florence,Galleria degli Uffizi,43.767902,11.255295,Web Gallery of Art,http://www.wga.hu/index1.html,http://www.nationalgallery.org.uk/artists/sandro-botticelli,Laura Cassidy,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,Convertite Altarpiece,Holy Trinity,Religious,,1491,1493,Painting,Tempera,,Wood,cm,215,cm,192,,,London,The Courtald Gallery,51.511787,-0.117363,Web Gallery of Art,http://www.wga.hu/index1.html,,Laura Cassidy,Filter
Titian,Tiziano,Vecellio,Venetian,Penitent Magdalene,Mary Magdalen in the Wilderness ,Religious,c.,1530,1535,Painting,Oil,,Canvas,cm,85,cm,68,,,Florence,Palazzo Pitti,43.765229,11.250191,Wikipedia,"https://en.wikipedia.org/wiki/Penitent_Magdalene_(Titian,_1533)",,Nicole Vaus,Filter
